media_id,creation_date,caption,comments_count,like_count,views,shares,comments_downloaded,timestamp
7364694317769772321,2024-05-03,"6557 likes, 40 comments. “#CapCut ”capcut",40,6557,546512,82,1,2024-05-03
7369977470881172768,2024-05-17,"61.6K likes, 398 comments. “#secolo #anno ”secolo #anno",398,61573,676083,2623,1,2024-05-17
7371737805623463201,2024-05-22,"5331 likes, 17 comments. “#japan #japantrend ”japan #japantrend",17,5331,90654,78,1,2024-05-22
7373173222084316449,2024-05-26,"2234 likes, 3 comments. “#rakan #japan #otaginenbutsujitemple #trip #trand ”rakan #japan #otaginenbutsujitemple #trip #trand",3,2234,42173,17,1,2024-05-26
7374729072074706208,2024-05-30,"2233 likes, 9 comments. “#mochi #nakatanidou #japan #travel ”mochi #nakatanidou #japan #travel",9,2233,72679,10,1,2024-05-30
7376537910763343136,2024-06-04,"19.7K likes, 25 comments. “#travel #japan #trend ”travel #japan #trend",25,19722,335285,407,1,2024-06-04
7386980153231936801,2024-07-02,"1588 likes, 31 comments. “#grwmProdotti #grwm  Prodotti usati: - Correttore eroborian - eyeliner ombretto: palette camihawke @We Make-up  - mascara Very nero in elastomero wemakeup - matita labbra EVEN banana bread wemakeup - DAILY lip balm cheesecake wemakeup”grwmprodotti #grwm #",31,1588,47350,7,1,2024-07-02
7388891963287735584,2024-07-07,"1653 likes, 11 comments. “#gnome #knights ”gnome #knights",11,1653,38822,16,1,2024-07-07
7389581526884764961,2024-07-09,"17.7K likes, 174 comments. Check out camihawke’s video.",174,17709,473706,346,1,2024-07-09
7394974371497921824,2024-07-23,"125.9K likes, 254 comments. “#favorite ”favorite",254,125903,1253138,3228,1,2024-07-23
7395246943674338592,2024-07-24,"561 likes, 6 comments. “#favorite ”favorite",6,561,9804,22,1,2024-07-24
7397338702508215584,2024-07-30,"835 likes, 5 comments. “#CapCut ”capcut",5,835,19238,3,1,2024-07-30
7397445765674618145,2024-07-30,"12.6K likes, 50 comments. Check out camihawke’s video.",50,12550,255161,445,1,2024-07-30
7397732136968555809,2024-07-31,"52.4K likes, 442 comments. “#crime ”crime",442,52374,495802,2863,1,2024-07-31
7398476044153441569,2024-08-02,"20.6K likes, 69 comments. “#bestplaceto #ranking #classifica ”bestplaceto #ranking #classifica",69,20619,377456,1642,1,2024-08-02
7399976886333426976,2024-08-06,"17.8K likes, 95 comments. Check out camihawke’s video.",95,17841,374304,149,1,2024-08-06
7404152099694497057,2024-08-17,"4305 likes, 11 comments. “#fitcheck ”fitcheck",11,4305,102215,34,1,2024-08-17
7405876739609546017,2024-08-22,"3847 likes, 13 comments. “#book #booktoker #tomorrowx3 ”book #booktoker #tomorrowx3",13,3847,94366,187,1,2024-08-22
7406352465567698208,2024-08-23,"35.2K likes, 84 comments. Check out camihawke’s video.",84,35240,546913,1064,1,2024-08-23
7408200392535772449,2024-08-28,"2928 likes, 32 comments. Check out camihawke’s video.",32,2928,74740,16,1,2024-08-28
7414401813983579425,2024-09-14,"31.1K likes, 162 comments. “Lezione fondamentale”",162,31108,437746,2140,1,2024-09-14
7414501066642853153,2024-09-14,"15.2K likes, 327 comments. “Teoria personalissima”",327,15171,365689,413,1,2024-09-14
7418178910321511713,2024-09-24,"178.7K likes, 2912 comments. Check out camihawke’s video.",2912,178652,1574440,34231,1,2024-09-24
7420439112131300641,2024-09-30,"5719 likes, 50 comments. “Ho paura di me stessa ”",50,5719,149105,892,1,2024-09-30
7423033445674159392,2024-10-07,"23.1K likes, 84 comments. “Una torta molto cioccolato poche pere”",84,23101,267717,492,1,2024-10-07
7426489663596072225,2024-10-16,"3779 likes, 48 comments. “#polpette #meatballs ”polpette #meatballs",48,3779,76189,89,1,2024-10-16
7428256957665938721,2024-10-21,"22.6K likes, 302 comments. “Correva l’anno boh penso 2017 ”",302,22606,349057,509,1,2024-10-21
7434163027601034518,2024-11-06,"88K likes, 490 comments. “#grwm #psicologia  ”grwm #psicologia",490,88002,874518,6331,1,2024-11-06
7449708334761938198,2024-12-18,"15.2K likes, 34 comments. “In ricordo di un’amica e della stilista migliore che io abbia mai conosciuto. Ti abbraccio ❤️”",34,15236,166967,85,1,2024-12-18
7450111142900501783,2024-12-19,"85.2K likes, 544 comments. “#asmr #waxcandy ”asmr #waxcandy",544,85231,722204,2341,1,2024-12-19
7456060098356579606,2025-01-04,"23.6K likes, 62 comments. Check out camihawke’s video.",62,23647,214946,1795,1,2025-01-04
7457163138270563606,2025-01-07,"891 likes, 5 comments. “#nonni #happybirthday ”nonni #happybirthday",5,891,24279,3,1,2025-01-07
7458231731716492566,2025-01-10,"27.3K likes, 128 comments. “#vocali #bf #bff #toxic ”vocali #bf #bff #toxic",128,27255,341254,853,1,2025-01-10
7462421612499963158,2025-01-21,"6002 likes, 23 comments. Check out camihawke’s video.",23,6002,127154,154,1,2025-01-21
7465358317775490306,2025-01-29,"60K likes, 55 comments. Check out camihawke’s video.",55,59961,1754558,897,1,2025-01-29
7466011293598747926,2025-01-31,"28.4K likes, 134 comments. Check out camihawke’s video.",134,28380,516779,563,1,2025-01-31
7466784421387996438,2025-02-02,"19.2K likes, 75 comments. “#circolino #radicalchic ”circolino #radicalchic",75,19243,270364,558,1,2025-02-02
7473867507963677974,2025-02-21,"47.3K likes, 119 comments. “#sound #face #trend”sound #face #trend",119,47325,538786,2221,1,2025-02-21
7478731776236588310,2025-03-06,"5919 likes, 33 comments. Check out camihawke’s video.",33,5919,376614,128,1,2025-03-06
7479093441222167830,2025-03-07,"29.6K likes, 102 comments. “#whatareyoudoing ”whatareyoudoing",102,29596,319296,2505,1,2025-03-07
7485793728909643031,2025-03-25,"1446 likes, 3 comments. “A posto dai ”",3,1446,114508,22,1,2025-03-25
7486484942042565910,2025-03-27,"11.6K likes, 79 comments. Check out camihawke’s video.",79,11598,284612,348,1,2025-03-27
7486837833836023062,2025-03-28,"10.9K likes, 114 comments. “#unghiette #newnailz ”unghiette #newnailz",114,10876,189165,283,1,2025-03-28
7487610001616358678,2025-03-30,"34K likes, 241 comments. “Se diritto privato andasse virale”",241,34020,415718,3370,1,2025-03-30
7488315405916704022,2025-04-01,"79.2K likes, 477 comments. “Sai come la definisco? Sai come la definisco? ”",477,79198,497048,17123,1,2025-04-01
7490197754690424086,2025-04-06,"4375 likes, 8 comments. Check out camihawke’s video.",8,4375,85146,215,1,2025-04-06
7490928283891125526,2025-04-08,"3817 likes, 14 comments. Check out camihawke’s video.",14,3817,495104,72,1,2025-04-08
7491703746884422934,2025-04-10,"50.1K likes, 276 comments. “Che grande.”",276,50141,606198,1773,1,2025-04-10
7493578348078157078,2025-04-15,"11.8K likes, 46 comments. Check out camihawke’s video.",46,11848,244098,107,1,2025-04-15
7496524203575840022,2025-04-23,"2754 likes, 26 comments. “Manuale di caccia e pesca per ragazze di Melissa Bank”booktok #booktokitalia",26,2754,86853,54,1,2025-04-23
7496891235890744598,2025-04-24,"9515 likes, 38 comments. Check out camihawke’s video.",38,9515,211441,240,1,2025-04-24
7499044164588342530,2025-04-30,"48.3K likes, 219 comments. “#asmr #locum #turkishdelight ”asmr #locum #turkishdelight",219,48347,555607,906,1,2025-04-30
7500168961947077911,2025-05-03,"102.3K likes, 802 comments. “#storytime ”storytime",802,102330,1017680,4371,1,2025-05-03
7506463656830455062,2025-05-20,"10.7K likes, 259 comments. “#xeena #series #iconic ”xeena #series #iconic",259,10693,162691,871,1,2025-05-20
7507614480545762582,2025-05-23,Sbloccata nuova personalità,6,930,25000,4,1,2025-05-23
7510308943365672214,2025-05-30,camihawke's short video with ♬ original sound,7,1314,20100,27,1,2025-05-30
7512105615544651030,2025-06-04,camihawke's short video with ♬ ceilings,17,1976,34400,31,1,2025-06-04
7512483984476065046,2025-06-05,camihawke's short video with ♬ suono originale,431,71400,868800,4584,1,2025-06-05
7513949937877404950,2025-06-09,#storytime #ansia storytime #ansia,143,12300,181800,618,1,2025-06-09
